id,question,original_answer,audit_status,support_method,support_pos,match_detail,revised_answer,revised_note,support_excerpt
14,Nutuk'un 1927 tarihli ilk basımı kaç cilt ve kaç sayfadır?,Nutuk'un 1927 tarihli ilk basımı iki cilt halinde yayımlanmıştır: 'Nutuk/ Mustafa Kemal Tarafından' (543 sayfa) ve 'Nutuk/ Muhteviyata Ait Vesaik' (303 sayfa).,partial_substring_support,answer_ngram_search,13758,nutuk mustafa kemal tarafından 543,,," Ankara'da Çankaya'daki çalışma odasında kaleme alınmış, son bölümleri İstanbul'da Dolmabahçe Sarayı'nda yazılmıştır. Bütün bu çalışmaların ürünü olarak baskıya giden metin Türk Hava Kurumu Müzesi'nde bulunmaktadır. Nutuk'un 1927 tarihli ilk basımı ""Nutuk/ Mustafa Kemal Tar"
15,1927 basımında tab ve neşir hakkı kime aittir?,"Üzerinde ""Türkiye'de tab ve neşir hakkı Türk Tayyare Cemiyeti'ne tevdi buyurulmuştur"" kaydı bulunmaktadır.",exact_quote_or_near,answer_substring,13900,,,,"ünü olarak baskıya giden metin Türk Hava Kurumu Müzesi'nde bulunmaktadır. Nutuk'un 1927 tarihli ilk basımı ""Nutuk/ Mustafa Kemal Tarafından"" (543402) sayfa) ve ""Nuruk/ Muhteviyata Ait Vesaik"" (303412) sayfa) başlığıyla iki cilt halinde, büyük boy yayımlanmıştır. Üzerinde ""Türkiye'de tab ve neşir hakkı Türk Tayyare Cemiyeti'ne tevdi buyurulmu"
16,İlk basımın basım yeri neresidir ve kaç adet basılmıştır?,"Basım yeri Ankara, Türk Ocakları Heyeti Merkeziye Matbaası'dır. İlk basım, hepsi numaralı 100 bin adettir.",partial_substring_support,answer_ngram_search,14022,türk ocakları heyeti merkeziye matbaası,,," Kemal Tarafından"" (543402) sayfa) ve ""Nuruk/ Muhteviyata Ait Vesaik"" (303412) sayfa) başlığıyla iki cilt halinde, büyük boy yayımlanmıştır. Üzerinde ""Türkiye'de tab ve neşir hakkı Türk Tayyare Cemiyeti'ne tevdi buyurulmuştur"" kaydı bulunmaktadır. Basım yeri Ankara, Türk Ocaklar"
17,Lüks basım kaç adet yapılmıştır ve nerede basılmıştır?,"1927 Türk Tayyare Cemiyeti basımı dışında ayrıca 2000 adet lüks basımı yapılmıştır. Türk Tayyare Cemiyeti, Nutuk'un bu basımını İstanbul'da Ebüzziya Matbaası'na yaptırmıştır.",partial_substring_support,answer_ngram_search,14504,tayyare cemiyeti basımı dışında ayrıca,,,"ettir. Ara başlıklar ilk basımdan sonra eklenmiştir. Sadece bazı satırbaşlarında paragraf işareti,bölüm sonlarında ise üç yıldız bulunmaktadır. Vesikaların sıra numarası vardır. ""Trakya Teşkilatına Ait Vesaik"" numarasız olarak ""Vesikalar""ın sonuna eklenmiştir. Nutuk'un 1927 Tür"
18,Nutuk hangi fiyatlardan satılmıştır?,"Nutuk, kâğıt ve ciltlerinin kalitesi ve süslemelerine göre 5, 10, 25, 45, 50 ve 500 lira fiyattan satılmıştır.",exact_quote_or_near,answer_substring,14889,,,," süslü ve büyük yazılmıştır. Sayfa zeminleri renkli, çevresi de süslüdür. Türk Tayyare Cemiyeti, Nutuk'un bu basımını İstanbul'da Ebüzziya Matbaası'na yaptırmıştır. Atatürk'ün fotoğrafı ve haritalar Ahmet İhsan (Tokgöz) Matbaası aracılığıyla Viyana'da Elbemühl Matbaası'nda basılmıştır. Nutuk, kâğıt ve ciltlerinin kalitesi ve süslemelerine gör"
19,Özel ciltlenen 10 adet Nutuk kimlere armağan edilmiştir?,"10 adet özel basılan ve ciltlenen Nutuk, Atatürk'e, TBMM Reisi'ne, Başvekil'e ve Erkânıharbiyei Umumiye Reisi'ne ve İnkılap Müzesi'ne armağan edilmiştir. Dört adedi de beş yüz lira karşılığında koleksiyonculara satışa sunulmuştur.",partial_substring_support,answer_ngram_search,15167,lira karşılığında koleksiyonculara satışa sunulmuştur,,,"lmıştır. Nutuk, kâğıt ve ciltlerinin kalitesi ve süslemelerine göre 5, 10, 25, 45, 50 ve 500 lira fiyattan satılmıştır. 10 adet özel basılan ve ciltlenen Nutuk, Atatürk'e, TBMM Reisi'ne, Başvekil'e ve Erkânıharbiyei Umumiye Reisi'ne ve İnkılap Müzesi'ne armagan edilmiştir. Dört adedi de beş y"
20,Nutuk'un yeni harflerle ilk basımı ne zaman ve nerede yapılmıştır?,"Nutuk'un yeni harflerle ilk basımı 1934'te İstanbul, Devlet Matbaası'nda yapılmıştır.",exact_quote_or_near,answer_substring,15480,,,," koleksiyonculara satışa sunulmuştur. Ciltleme, İstanbul'da Zelliç Matbaası'nın mücellithanesinde yapılmıştır. 10 adet özel ciltlenen Nutuk'un süslemeleri İstanbul'da Medreset-ül-hattatin adıyla anılan okulun sanatçıları tarafından düzenlenmiş, kuyumculuk işlerini İstanbullu kuyumcular yapmıştır. Nutuk'un yeni harflerle il"
21,1934 basımında yan tarafına eklenen konu başlıkları kim tarafından hazırlanmıştır?,Metnin yan tarafına eklenen konu başlıkları Faik Reşit Unat tarafından hazırlanmıştır.,exact_quote_or_near,answer_substring,15850,,,, yapılmıştır. Bu kez üç cilt halinde yayımlanan Nutuk'un birinci cildi BMM'nin açılacağını bildiren genelge ile bitiyor. İkinci cilt BMM'nin açılışıyla başlıyor. Üçüncü cilt vesikalara ayrılmış. Birinci cildin başında A. Kampf'ın çizdiği Atatürk portresi yer alıyor. Metin içine fotoğraflar konulmuştur. Metnin yan tarafına e
22,Nutuk'un ilk yabancı dil özeti ne zaman ve hangi dilde yayımlanmıştır?,Aralık 1927'de Oriente Moderno dergisinde 30 sayfalık İtalyanca özetinden yayımlanmıştır.,partial_substring_support,answer_ngram_search,16241,oriente moderno dergisinde,,,"Harita ve krokiler ciltle birliktedir. İlk iki ciltte dizin bulunmaktadır. 1934 baskısının saklanan kalıpları aynen kullanılarak, kimi küçük değişikliklerle 1938'de, sadece metin bölümü tek cilt olarak Kültür Bakanlığı'nca yayımlandı. Nutuk, bütün dünyada ilgi gördü"
23,Nutuk'un Almanca basımı hangi yayınevi tarafından yapılmıştır?,Almanca basım Leipzig'de K.F. Köhler Yayınevi tarafından basılmıştır.,partial_substring_support,answer_ngram_search,16595,köhler yayınevi tarafından,,,"yfalık İtalyanca özetinden sonra, Freiheit 1919-1920/ Die neue Türkei 1919-1927, Rede, gehalten von Gasi Mustafa Kemal Pascha in Angora vom 15. bis 20 Oktober 1927 vor den Abgeordneten und Delegierten der Republikanischen Volkspartei"" ve ""Gasi Mustafa Kemal Pascha, "
24,Nutuk'un en kapsamlı basımı hangi dildedir ve kaç cilt halindedir?,"1929-1934 yılları arasında ""Put Novoy Turtsii 1919-1927"" başlığıyla dört cilt halinde basılmıştır.",exact_quote_or_near,answer_substring,17141,,,,"vered by Ghazi Mustapha Kemal, President of the Turkish Republic, October 1927"" başlığıyla okuyucuya sunuldu. Fransızca ve İngilizce basımlarda çeviren adı yoktur. Almanca baskısında Nutuk'un ""yazarının gözetimi altında hazırlanan Fransızcasından"" Dr. Paul Roth tarafından çevrildiği belirtilmektedir. Rusça basımı en kapsamlı olanıdır"
25,Mustafa Kemal'in verdiği cevap sureti kimlere tebliğ edilmiştir?,"Mustafa Kemal Bu nota suretiyle tarafımdan verilen cevap sureti bütün kumandanlara, vali ve mutasarrıflara tamimen tebliğ edildi.",exact_quote_or_near,answer_substring,66106,,,,te düşürecek hiçbir hadise olmamıştır. Ne Sivas'ta ve ne de civarında endişe verici hiçbir hal yoktur. Herkes sakince iş ve güçleriyle meşguldür. Bunu kati surette arz ve temin ederim. Dolayısıyla İngiliz notasındaki istihbarat kaynağının ne olduğu âcizlerince bilinmek lazımdır. İzmir'in ve Manisa'nın işgali acı haberi üzerine İslam ahalice yapılan ve Hıristiyan un
26,İngiliz Muhipler Cemiyeti adına kim telgraf göndermiştir?,"İngiliz Muhipler Cemiyeti'ne iştirakle İngiltere müzaheretinin talep edilmesi, bu cemiyet namına, Sait Molla imzasıyla bütün belediye riyasetlerine bir telgrafla bildirilmiştir.",partial_substring_support,answer_ngram_search,66366,molla imzasıyla bütün belediye riyasetlerine,,, bilinmek lazımdır. İzmir'in ve Manisa'nın işgali acı haberi üzerine İslam ahalice yapılan ve Hıristiyan unsurlar hakkında hiçbir husumet fikri ihtiva etmeyen toplantılardan belki de bazılarının ürkmüş olmaları hatıra gelmektedir. İtilaf devletleri milletimizin haklarına ve bağımsızl
27,27 Mayıs 1919 tarihinde hangi ajans ne yayımlamıştır?,"27 Mayıs 1919 tarihinde Türkiye-Havas-Royter ismindeki ajans, toplanan Saltanat Şûrası hakkında 'heyetteki herkesin fikri, Türkiye'nin büyük devletlerden birinin müzaheretini temin merkezindedir' havadisini yayımlamıştır.",partial_substring_support,answer_ngram_search,66757,devletlerden birinin müzaheretini temin merkezindedir,,,"rların korkuya kapılmasına hiçbir sebep yoktur ve bu konuda devlete karşı her türlü mesuliyeti taahhüt ve buna tamamıyla emniyet buyurulmasını istirham ederim. Fakat milli bağımsızlık ve mevcudiyeti imha ve hayatın bekasını tehlikeye düşürenişgal, suikast ve tecavüz gibi İzmir havalisinde gör"
28,3 Haziran 1919 tarihli şifre telgraf Havza'dan kimlere gönderilmiştir?,"Samsun'da 3. Kolordu Kumandanı Refet Bey, Erzurum'da 15. Kolordu Kumandanı Kâzım Paşa, Canik Mutasarrıfı Hamit Bey, Erzurum Valisi Münir Bey, Sivas Vali Vekili Hâkim Hasbi Efendi, Kastamonu Valisi İbrahim Bey, Ankara'da 20. Kolordu Kumandanı Ali Fuat Paşa, Konya'da Yıldırım Kıtaları Müfettişi Cemal Paşa, Diyarbekir'de 13. Kolordu Kumandan Vekili Cevdet Bey ve Van Valisi Haydar Bey'e gönderilmiştir.",partial_substring_support,answer_ngram_search,67814,yıldırım kıtaları müfettişi cemal paşa,,," bırakmak için milleti lüzumu gibi aydınlatmakla beraber hükümet nezdindeki teşebbüslerim malumunuz olmuştur (Vesika: 25). Bundan başka 27 Mayıs 1919 tarihinde Türkiye-Havas-Royter? ismindeki ajansın, toplanan Saltanat Şârası hakkındaki tafsilatta ""heyetteki herkesin fikri, Tür"
29,Fransa siyasi temsilcisi kim ve Sadrazamlık makamına ne tebliğ etmiştir?,"Fransa siyasi temsilcisi Mösyö Döfrans, Sadrazamlık makamına gelerek Osmanlı'nın haklarını Konferans huzurunda müdafaa için Paris'e gidebileceklerini tebliğ eylemiştir.",partial_substring_support,answer_ngram_search,68038,nın haklarını konferans huzurunda müdafaa,,,"ı hakkındaki tafsilatta ""heyetteki herkesin fikri, Türkiye'nin büyük devletlerden birinin müzaheretini! temin merkezindedir"" havadisini yayımlayıp tamim etmesi üzerine Sadrazam'a ""Milletin milli bağımsızlığı muhafazaya kararlı olduğunu ve bütün uğursuz neticelere karşı en son feda"
30,Mustafa Kemal'e göre milletçe katiyen müdafaası talep olunan iki temel hak nedir?,"Birincisi, mutlak surette devlet ve milletin tam bağımsızlığı. İkincisi de vatanın asli kısımlarında çoğunluğun azınlıklara feda edilmemesidir.",exact_quote_or_near,answer_substring,68962,,,,fı Hamit Beyefendi'ye Erzurum Valisi Münir Beyefendi'ye Sivas Vali Vekili Hâkim Hasbi Efendi Hazretleri'ne Kastamonu Valisi İbrahim Beyefendi'ye Ankara'da 20. Kolordu Kumandanı Ali Fuat Paşa Hazretleri'ne Konya'da Yıldırım Kıtaları Müfettişi Cemal Paşa Hazretleri'ne Diyarbekir'de 13. Kolordu Kumandan Vekili Cevdet Beyefendi'ye Van Valisi Haydar Beyefendi'ye Fransa siyasi temsilc
31,Sadrazam Paşa beyanatında hangi özerklik esasını kabul ettiğini bildirmiştir?,Sadrazam Paşa Hazretleri duyulan beyanatında bir Ermeni özerkliği esasını kabul etmiş olduğunu bildirdi.,exact_quote_or_near,answer_substring,69354,,,,"öfrans'ın Sadrazamlık makamına gelerek Osmanlı'nın haklarını Konferans huzurunda müdafaa için Paris'e gidebileceklerini tebliğ eylediği, Dahiliye Nezareti'nin resmi tebligatından ve ajans neşriyatından anlaşılmıştır. İzmir vakası üzerine milletimizin gösterdiği milli bağlılık ve bu suretle bağımsızlığın muhafazası hususunda tezahür eden kati"
32,Saltanat Şûrası'nda İtilaf ve Hürriyet Fırkası namına kim ve ne teklif etmiştir?,Hükümetin dayandığı İtilaf ve Hürriyet Fırkası namına Reisi Sadık Bey'in yazılı ifadesinde İngiltere'nin himayesi teklif olunmuştur.,partial_substring_support,answer_ngram_search,69787,hürriyet fırkası namına reisi sadık,,,"ayetinde işgalden menedilmiş değildir. Her halde milletin, haklarını idrak etmiş ve onu çiğnetmemek için yekvücut olarak fedakârane harekete hazır olduğu İtilaf devletlerine karşı gösterilmeye ve ispata devam edildikçe söz konusu devletlerin milletimize hürmetkâr ve hakların"
33,Mustafa Kemal İstanbul'a ne zaman ve kim tarafından davet olunmuştur?,8 Haziran 1919'da İstanbul'a Harbiye Nazırı tarafından davet olunmuştur.,partial_substring_support,answer_ngram_search,71345,harbiye nazırı tarafından davet,,,"erinde milli arzu ile mevcut hükümetin görüşünde mutabakat olmadığı görülüyor. Sadrazam Paşa Hazretleri'yle beraberinde hareket edecek olan heyetin milletin haklarını müdafaada takip edeceği esaslar ve program milletçe malum olmadıkça, arz olunan noktalarda endişeye kapı"
34,Mustafa Kemal'i İstanbul'a davet edilmesini kim haber vermiştir?,"Gizli soru üzerine kimler tarafından ve ne için talep edildiğini, Erkânıharbiyei Umumiye Riyaseti makamında bulunan Cevat Paşa haber vermiştir.",partial_substring_support,answer_ngram_search,71569,nıharbiyei umumiye riyaseti makamında bulunan,,," olmadıkça, arz olunan noktalarda endişeye kapılmaktan kaçınılamaz. Bu suretle vilayetlerdeki ve bağlı yerlerdeki Müdafaai Hukuku Milliye ve Reddi İlhak Cemiyetlerinin temsilci heyetleri ve henüz teşkilatı tamamlanamayan yerlerde de belediye heyetleri tarafından Sadrazam Paşa Hazretle"
35,Mustafa Kemal Anadolu'ya dahil olalı bir ay içinde ne yapmıştır?,"Bu müddet zarfında bütün ordular aksamıyla temas ve irtibat temin edilmiş ve millet mümkün olduğu kadar aydınlatılarak teyakkuza getirilmiş ve uyandırılmış, milli teşkilat fikri yayılmaya başlamıştı.",exact_quote_or_near,answer_substring,71894,,,," telgrafnamelerle müracaat edilerek, milli tam bağımsızlığın dokunulmazlığının ve milli çogunluğun haklarının korunmasının milletçe esas şart olduğu beyan ve buna göre gidecek heyetin müdafaa esaslarını millete resmen ve alenen bildirmesi talep olunmalıdır. Milletin bu hareket tarzıyla, gidecek heyetin müdafaasına çalışacağı esasların hakikaten milletin arzu ve talebi olduğu İtilaf devletlerince malum olacak ve bittabi daha ziyade eh"
36,Sivas'ta genel bir milli heyet toplamak kararı ne zaman alınmıştır?,"18 Haziran 1919 tarihinde Trakya'ya verdiği direktifte işaret ettiği bu nokta, şimdi tatbiki zamanı gelmiş bulunuyordu. Tamim 21/22 Haziran 1919 gecesi Amasya'da dikte edilmiştir.",partial_substring_support,answer_ngram_search,72829,tatbiki zamanı gelmiş bulunuyordu,,," edildiğimi ricalimizden bir zatın haber verdiğini vaktiyle bir münasebetle vuku bulan beyanatımda ifade etmiştim. O zat, Erkânıharbiyei Umumiye Riyaseti makamında bulunan Cevat Paşa idi. Bunun üzerine İstanbul ile vuku bulmuş olan haberleşmelerin bir kısmı herkesçe malum "
37,Sivas'ta genel bir milli heyet toplamanın amacı nedir?,"Anadolu ve Rumeli milli teşkilatını birleştirerek, bir merkezden temsil ve idare eylemek üzere, Sivas'ta genel bir milli heyet toplamaktı.",exact_quote_or_near,answer_substring,72889,,,,"bir münasebetle vuku bulan beyanatımda ifade etmiştim. O zat, Erkânıharbiyei Umumiye Riyaseti makamında bulunan Cevat Paşa idi. Bunun üzerine İstanbul ile vuku bulmuş olan haberleşmelerin bir kısmı herkesçe malum olmuştur. Bu haberleşmeler, Erzurum'da istifa ettiğim tarihe kadar muhtelif harbiye nazırlarıyla ve doğrudan doğruya saray ile devam etmiştir. Anadolu'ya dahil ol"
38,Sivas tamimini Mustafa Kemal kime dikte ettirmiştir?,Bu maksadın temini için yaverim Cevat Abbas Bey'e 21/22 Haziran 1919 gecesi Amasya'da dikte ettiğim tamimin esas noktaları şunlar idi: 1.,exact_quote_or_near,answer_substring,73025,,,,"erine İstanbul ile vuku bulmuş olan haberleşmelerin bir kısmı herkesçe malum olmuştur. Bu haberleşmeler, Erzurum'da istifa ettiğim tarihe kadar muhtelif harbiye nazırlarıyla ve doğrudan doğruya saray ile devam etmiştir. Anadolu'ya dahil olalı bir ay olmuştu. Bu müddet zarfında bütün ordular aksamıyla temas ve irtibat temin edilmiş ve millet mümkün olduğu kadar aydınlatılar"
39,Mustafa Kemal Atatürk'ün hayatı hangi dönemlerle iç içedir?,"Mustafa Kemal Atatürk, Türkiye halkının milli demokratik devriminin önderidir. O'nun hayatı, daha 1908 Devrimi öncesinden 1938'de hayata göz yummasına kadar toplumumuzun devrim süreçleriyle iç içedir.",exact_quote_or_near,answer_substring,9733,,,," Büyük Hükümet Memurlarının Çıkardıkları Müşkülat Samsun'daki Subaylar Arasında Güya Padişahperestlik Hissiyatı Varmış Türkiye Büyük Millet Meclisi Toplanıyor Mustafa Kemal Atatürk, Türkiye halkının milli demokratik devriminin önderidir. O'nun hayatı, daha 1908 Devrimi öncesinden 1938'de hayata göz yummasına kadar toplumumuzun devrim süreçleriyle iç içedir. Atatürk, Mazlumlar Dünyasının başarıya ulaşan ilk devrimine önderlik etmişti"
40,Kurtuluş Savaşı ve Cumhuriyet Devrimi dünyada nasıl anılmaktadır?,Kurtuluş Savaşımızın ve Cumhuriyet Devrimimizin bütün dünyada Kemalist Devrim diye O'nun adıyla anılması doğaldır.,exact_quote_or_near,answer_substring,10256,,,,"maktadır. Bu nedenle, O'nun başında bulunduğu eylem, yalnız milli tarihimize damgasını vurmakla kalmamış, insanlık tarihinin yaratılmasına da önemli katkıda bulunmuştur. Kurtuluş Savaşımızın ve Cumhuriyet Devrimimizin bütün dünyada Kemalist Devrim diye O'nun adıyla anılması doğaldır. Bu gerçekler ışığında, Atatürk'ü bilmek ve anlamak, 20. yüzyıl Türki"
41,Nutuk'un devrimi anlatan özelliği nedir?,"Nutuk, Atatürk'ün önderlik ettiği devrimin en önemli belgesidir. Devrimi, devrimin önderi incelemektedir.",exact_quote_or_near,answer_substring,10501,,,,"im diye O'nun adıyla anılması doğaldır. Bu gerçekler ışığında, Atatürk'ü bilmek ve anlamak, 20. yüzyıl Türkiye'sini ve dünyasını inceleme ve açıklama çabasının bir gereğidir. Nutuk, Atatürk'ün önderlik ettiği devrimin en önemli belgesidir. Devrimi, devrimin önderi incelemektedir. Atatürk, Nutuk'u 15 Ekim 1927 Cumartesi günü Cumhuriyet Halk"
